time,"P(B1|XI19)","P(B2|XI19)","P(B5|XI19)","P(B6|XI19)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-12,4.383432e-03,9.488848e-04,-1.372283e-03,2.071529e-03
2.000000e-12,1.661309e-02,4.341958e-03,-3.974549e-03,1.145972e-02
3.000000e-12,2.747107e-02,8.025591e-03,-4.740198e-03,2.226179e-02
4.000000e-12,3.793001e-02,1.121589e-02,-5.579067e-03,3.182609e-02
5.000000e-12,4.873370e-02,1.452666e-02,-6.505829e-03,4.195716e-02
6.000000e-12,5.949232e-02,1.794195e-02,-7.390571e-03,5.204993e-02
7.000000e-12,7.023008e-02,2.127250e-02,-8.255877e-03,6.211625e-02
8.000000e-12,8.098791e-02,2.462373e-02,-9.134262e-03,7.219959e-02
9.000000e-12,9.175442e-02,2.798646e-02,-1.000372e-02,8.230437e-02
1.000000e-11,1.025294e-01,3.134158e-02,-1.086957e-02,9.241436e-02
1.100000e-11,1.133144e-01,3.470102e-02,-1.173093e-02,1.025408e-01
1.200000e-11,1.241121e-01,3.806333e-02,-1.258701e-02,1.126842e-01
1.300000e-11,1.349228e-01,4.142718e-02,-1.343723e-02,1.228449e-01
1.400000e-11,1.457478e-01,4.479387e-02,-1.428092e-02,1.330259e-01
1.500000e-11,1.565885e-01,4.816346e-02,-1.511753e-02,1.432286e-01
1.600000e-11,1.674461e-01,5.153607e-02,-1.594638e-02,1.534548e-01
1.700000e-11,1.783219e-01,5.491205e-02,-1.676681e-02,1.637067e-01
1.800000e-11,1.892173e-01,5.829162e-02,-1.757813e-02,1.739861e-01
1.900000e-11,2.001335e-01,6.167506e-02,-1.837965e-02,1.842950e-01
2.000000e-11,2.110720e-01,6.506263e-02,-1.917062e-02,1.946356e-01
2.100000e-11,2.220341e-01,6.845461e-02,-1.995031e-02,2.050100e-01
2.200000e-11,2.330212e-01,7.185128e-02,-2.071791e-02,2.154203e-01
2.300000e-11,2.440348e-01,7.525294e-02,-2.147263e-02,2.258688e-01
2.400000e-11,2.550764e-01,7.865987e-02,-2.221360e-02,2.363580e-01
2.500000e-11,2.661475e-01,8.207239e-02,-2.293995e-02,2.468901e-01
2.600000e-11,2.772496e-01,8.549082e-02,-2.365074e-02,2.574678e-01
2.700000e-11,2.883843e-01,8.891549e-02,-2.434500e-02,2.680935e-01
2.800000e-11,2.995532e-01,9.234675e-02,-2.502172e-02,2.787701e-01
2.900000e-11,3.107581e-01,9.578494e-02,-2.567983e-02,2.895004e-01
3.000000e-11,3.220007e-01,9.923044e-02,-2.631818e-02,3.002872e-01
3.100000e-11,3.332827e-01,1.026836e-01,-2.693559e-02,3.111337e-01
3.210000e-11,3.457407e-01,1.064915e-01,-2.758906e-02,3.231377e-01
3.310000e-11,3.571116e-01,1.099622e-01,-2.815830e-02,3.341202e-01
3.410000e-11,3.685279e-01,1.134419e-01,-2.870243e-02,3.451729e-01
3.510000e-11,3.799916e-01,1.169310e-01,-2.921994e-02,3.562996e-01
3.610000e-11,3.915049e-01,1.204301e-01,-2.970919e-02,3.675042e-01
3.710000e-11,4.030699e-01,1.239396e-01,-3.016847e-02,3.787909e-01
3.810000e-11,4.146889e-01,1.274602e-01,-3.059590e-02,3.901641e-01
3.910000e-11,4.263643e-01,1.309923e-01,-3.098950e-02,4.016286e-01
4.010000e-11,4.380987e-01,1.345366e-01,-3.134711e-02,4.131893e-01
4.110000e-11,4.498946e-01,1.380937e-01,-3.166643e-02,4.248515e-01
4.210000e-11,4.617548e-01,1.416643e-01,-3.194496e-02,4.366211e-01
4.310000e-11,4.736822e-01,1.452491e-01,-3.217997e-02,4.485040e-01
4.410000e-11,4.856796e-01,1.488489e-01,-3.236851e-02,4.605069e-01
4.510000e-11,4.977504e-01,1.524646e-01,-3.250738e-02,4.726367e-01
4.610000e-11,5.098979e-01,1.560970e-01,-3.259304e-02,4.849010e-01
4.710000e-11,5.221255e-01,1.597472e-01,-3.262165e-02,4.973082e-01
4.810000e-11,5.344371e-01,1.634161e-01,-3.258895e-02,5.098670e-01
4.910000e-11,5.468366e-01,1.671049e-01,-3.249023e-02,5.225873e-01
5.010000e-11,5.593157e-01,1.708126e-01,-3.231649e-02,5.354757e-01
5.110000e-11,5.662558e-01,1.733371e-01,-3.040477e-02,5.457668e-01
5.210000e-11,5.649624e-01,1.734459e-01,-2.803131e-02,5.476873e-01
5.310000e-11,5.646566e-01,1.731482e-01,-2.819093e-02,5.469029e-01
5.410000e-11,5.649526e-01,1.732487e-01,-2.828514e-02,5.471870e-01
5.510000e-11,5.649440e-01,1.733179e-01,-2.820547e-02,5.472551e-01
5.610000e-11,5.649090e-01,1.732651e-01,-2.819376e-02,5.472591e-01
5.710000e-11,5.649175e-01,1.732741e-01,-2.820970e-02,5.472450e-01
5.810000e-11,5.649217e-01,1.732823e-01,-2.820585e-02,5.472526e-01
5.910000e-11,5.649202e-01,1.732770e-01,-2.820495e-02,5.472558e-01
6.010000e-11,5.649194e-01,1.732777e-01,-2.820625e-02,5.472539e-01
6.110000e-11,5.649200e-01,1.732785e-01,-2.820574e-02,5.472549e-01
6.210000e-11,5.649201e-01,1.732781e-01,-2.820593e-02,5.472550e-01
6.310000e-11,5.649199e-01,1.732781e-01,-2.820596e-02,5.472551e-01
6.410000e-11,5.649200e-01,1.732782e-01,-2.820593e-02,5.472551e-01
6.510000e-11,5.649200e-01,1.732781e-01,-2.820595e-02,5.472551e-01
6.610000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
6.710000e-11,5.649200e-01,1.732781e-01,-2.820595e-02,5.472551e-01
6.810000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
6.910000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.010000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.110000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.210000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.310000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.410000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.510000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.610000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.710000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.810000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
7.910000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.000000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.100000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.200000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.300000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.400000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.500000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.600000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.700000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.800000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
8.900000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.000000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.100000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.200000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.300000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.400000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.500000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.600000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.700000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.800000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
9.900000e-11,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
1.000000e-10,5.649200e-01,1.732781e-01,-2.820596e-02,5.472551e-01
1.010000e-10,5.649204e-01,1.732786e-01,-2.820108e-02,5.472572e-01
1.020000e-10,5.649440e-01,1.733031e-01,-2.795621e-02,5.473672e-01
1.030000e-10,5.651595e-01,1.735169e-01,-2.592100e-02,5.483201e-01
1.040000e-10,5.658309e-01,1.741469e-01,-2.008223e-02,5.511800e-01
1.050000e-10,5.670921e-01,1.752940e-01,-9.666814e-03,5.564666e-01
1.060000e-10,5.696077e-01,1.776143e-01,1.131742e-02,5.670627e-01
1.070000e-10,5.749551e-01,1.825611e-01,5.642531e-02,5.897583e-01
1.080000e-10,5.858209e-01,1.925252e-01,1.471449e-01,6.360878e-01
1.090000e-10,6.075697e-01,2.124394e-01,3.300658e-01,7.306751e-01
