time,"P(B2)","P(B5)","P(B8)","P(B11)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-13,-3.078881e-05,3.220210e-05,1.909670e-04,1.049470e-04
4.000000e-13,-1.843008e-04,2.123622e-04,1.212598e-03,7.526411e-04
6.000000e-13,-5.210330e-04,6.796789e-04,3.647028e-03,2.511064e-03
8.000000e-13,-1.019770e-03,1.551130e-03,7.677572e-03,5.762483e-03
1.000000e-12,-1.593038e-03,2.908356e-03,1.312987e-02,1.057960e-02
1.200000e-12,-2.129044e-03,4.786996e-03,1.963738e-02,1.676503e-02
1.400000e-12,-2.535701e-03,7.165659e-03,2.679364e-02,2.396031e-02
1.600000e-12,-2.770259e-03,9.962972e-03,3.424902e-02,3.175963e-02
1.800000e-12,-2.846257e-03,1.304855e-02,4.175010e-02,3.979612e-02
2.000000e-12,-2.819496e-03,1.626696e-02,4.913839e-02,4.779095e-02
2.200000e-12,-2.762213e-03,1.946795e-02,5.632992e-02,5.556886e-02
2.400000e-12,-2.737080e-03,2.253403e-02,6.329253e-02,6.304979e-02
2.600000e-12,-2.780165e-03,2.539783e-02,7.002927e-02,7.022761e-02
2.800000e-12,-2.896687e-03,2.804565e-02,7.656841e-02,7.714511e-02
3.000000e-12,-3.067957e-03,3.050847e-02,8.295662e-02,8.387087e-02
3.200000e-12,-3.264292e-03,3.284470e-02,8.925175e-02,9.048088e-02
3.400000e-12,-3.457944e-03,3.512089e-02,9.551363e-02,9.704554e-02
3.600000e-12,-3.631603e-03,3.739558e-02,1.017942e-01,1.036215e-01
3.800000e-12,-3.780784e-03,3.970950e-02,1.081295e-01,1.102478e-01
4.000000e-12,-3.911026e-03,4.208286e-02,1.145359e-01,1.169450e-01
4.200000e-12,-4.032438e-03,4.451815e-02,1.210114e-01,1.237177e-01
4.400000e-12,-4.154328e-03,4.700600e-02,1.275411e-01,1.305575e-01
4.600000e-12,-4.281870e-03,4.953151e-02,1.341045e-01,1.374487e-01
4.800000e-12,-4.415425e-03,5.207931e-02,1.406824e-01,1.443726e-01
5.000000e-12,-4.551968e-03,5.463649e-02,1.472611e-01,1.513115e-01
5.200000e-12,-4.687458e-03,5.719367e-02,1.538338e-01,1.582517e-01
5.400000e-12,-4.818931e-03,5.974475e-02,1.603998e-01,1.651848e-01
5.600000e-12,-4.945563e-03,6.228630e-02,1.669615e-01,1.721074e-01
5.800000e-12,-5.068558e-03,6.481692e-02,1.735222e-01,1.790203e-01
6.000000e-12,-5.190199e-03,6.733689e-02,1.800848e-01,1.859272e-01
6.200000e-12,-5.312661e-03,6.984793e-02,1.866508e-01,1.928327e-01
6.400000e-12,-5.437112e-03,7.235298e-02,1.932209e-01,1.997417e-01
6.600000e-12,-5.563389e-03,7.485577e-02,1.997958e-01,2.066585e-01
6.800000e-12,-5.690262e-03,7.736017e-02,2.063763e-01,2.135861e-01
7.000000e-12,-5.816038e-03,7.986953e-02,2.129640e-01,2.205264e-01
7.200000e-12,-5.939226e-03,8.238607e-02,2.195606e-01,2.274804e-01
7.400000e-12,-6.058997e-03,8.491063e-02,2.261678e-01,2.344482e-01
7.600000e-12,-6.175308e-03,8.744272e-02,2.327865e-01,2.414293e-01
7.800000e-12,-6.288746e-03,8.998091e-02,2.394171e-01,2.484233e-01
8.000000e-12,-6.400177e-03,9.252338e-02,2.460591e-01,2.554292e-01
8.200000e-12,-6.510397e-03,9.506845e-02,2.527117e-01,2.624466e-01
8.400000e-12,-6.619878e-03,9.761497e-02,2.593741e-01,2.694752e-01
8.600000e-12,-6.728686e-03,1.001625e-01,2.660457e-01,2.765149e-01
8.800000e-12,-6.836547e-03,1.027111e-01,2.727265e-01,2.835660e-01
9.000000e-12,-6.943008e-03,1.052614e-01,2.794168e-01,2.906290e-01
9.200000e-12,-7.047606e-03,1.078141e-01,2.861173e-01,2.977046e-01
9.400000e-12,-7.149992e-03,1.103700e-01,2.928287e-01,3.047936e-01
9.600000e-12,-7.249988e-03,1.129294e-01,2.995518e-01,3.118967e-01
9.800000e-12,-7.347564e-03,1.154927e-01,3.062871e-01,3.190146e-01
1.000000e-11,-7.442781e-03,1.180600e-01,3.130352e-01,3.261478e-01
1.020000e-11,-7.535719e-03,1.206314e-01,3.197963e-01,3.332967e-01
1.040000e-11,-7.626425e-03,1.232067e-01,3.265707e-01,3.404618e-01
1.060000e-11,-7.714888e-03,1.257861e-01,3.333587e-01,3.476434e-01
1.080000e-11,-7.801046e-03,1.283696e-01,3.401606e-01,3.548418e-01
1.100000e-11,-7.884805e-03,1.309573e-01,3.469768e-01,3.620575e-01
1.120000e-11,-7.966060e-03,1.335491e-01,3.538076e-01,3.692908e-01
1.140000e-11,-8.044718e-03,1.361454e-01,3.606533e-01,3.765423e-01
1.160000e-11,-8.120697e-03,1.387460e-01,3.675144e-01,3.838123e-01
1.180000e-11,-8.193930e-03,1.413511e-01,3.743912e-01,3.911015e-01
1.200000e-11,-8.264350e-03,1.439608e-01,3.812842e-01,3.984104e-01
1.220000e-11,-8.331883e-03,1.465753e-01,3.881937e-01,4.057395e-01
1.240000e-11,-8.396448e-03,1.491946e-01,3.951202e-01,4.130894e-01
1.260000e-11,-8.457953e-03,1.518189e-01,4.020642e-01,4.204605e-01
1.280000e-11,-8.516301e-03,1.544484e-01,4.090259e-01,4.278535e-01
1.300000e-11,-8.571398e-03,1.570832e-01,4.160061e-01,4.352690e-01
1.320000e-11,-8.623153e-03,1.597235e-01,4.230050e-01,4.427074e-01
1.340000e-11,-8.671481e-03,1.623694e-01,4.300231e-01,4.501694e-01
1.360000e-11,-8.716299e-03,1.650210e-01,4.370610e-01,4.576556e-01
1.380000e-11,-8.757524e-03,1.676785e-01,4.441190e-01,4.651666e-01
1.400000e-11,-8.795069e-03,1.703419e-01,4.511978e-01,4.727030e-01
1.420000e-11,-8.828839e-03,1.730114e-01,4.582977e-01,4.802655e-01
1.440000e-11,-8.858733e-03,1.756872e-01,4.654194e-01,4.878549e-01
1.460000e-11,-8.884641e-03,1.783694e-01,4.725633e-01,4.954716e-01
1.480000e-11,-8.906450e-03,1.810581e-01,4.797299e-01,5.031165e-01
1.500000e-11,-8.924044e-03,1.837535e-01,4.869200e-01,5.107903e-01
1.520000e-11,-8.937307e-03,1.864559e-01,4.941339e-01,5.184937e-01
1.540000e-11,-8.946121e-03,1.891652e-01,5.013723e-01,5.262275e-01
1.560000e-11,-8.950368e-03,1.918818e-01,5.086358e-01,5.339924e-01
